Data Source Name,File Name,File Path,File Type,Step Name,DD Name,DISP,Program Name,Logical Name,Copybook Record Name,Copybook File Path,Access Type,System Program,Data Source Type
AWS.M2.CARDDEMO.TCATBALF.BKUP,DEFGDGB.jcl,demo/jcl/DEFGDGB.jcl,JCL,STEP05,,,IDCAMS,,,,CREATE,Yes,GDG Base
AWS.M2.CARDDEMO.TCATBALF.BKUP,PRTCATBL.jcl,demo/jcl/PRTCATBL.jcl,JCL,STEP05R.PRC001,FILEOUT,"NEW,CATLG,DELETE",IDCAMS,,,,WRITE,Yes,GDG Base
AWS.M2.CARDDEMO.TCATBALF.BKUP,PRTCATBL.jcl,demo/jcl/PRTCATBL.jcl,JCL,STEP10R,SORTIN,SHR,SORT,,,,READ,Yes,GDG Base
AWS.M2.CARDDEMO.TCATBALF.PS,TCATBALF.jcl,demo/jcl/TCATBALF.jcl,JCL,STEP15,TCATBAL,SHR,IDCAMS,,,,READ,Yes,Non VSAM
AWS.M2.CARDDEMO.TCATBALF.REPT,PRTCATBL.jcl,demo/jcl/PRTCATBL.jcl,JCL,DELDEF,THEFILE,"MOD,DELETE",IEFBR14,,,,DELETE,Yes,Non VSAM
AWS.M2.CARDDEMO.TCATBALF.REPT,PRTCATBL.jcl,demo/jcl/PRTCATBL.jcl,JCL,STEP10R,SORTOUT,"NEW,CATLG,DELETE",SORT,,,,WRITE,Yes,Non VSAM
AWS.M2.CARDDEMO.TCATBALF.VSAM.KSDS,CBACT04C.cbl,demo/cbl/CBACT04C.cbl,COBOL,,TCATBALF,,,TCATBAL-FILE,TRAN-CAT-BAL-RECORD,demo/cpy/CVTRA01Y.cpy,READ,,VSAM KSDS
AWS.M2.CARDDEMO.TCATBALF.VSAM.KSDS,CBTRN02C.cbl,demo/cbl/CBTRN02C.cbl,COBOL,,TCATBALF,,,TCATBAL-FILE,TRAN-CAT-BAL-RECORD,demo/cpy/CVTRA01Y.cpy,READ; UPDATE; WRITE,,VSAM KSDS
AWS.M2.CARDDEMO.TCATBALF.VSAM.KSDS,INTCALC.jcl,demo/jcl/INTCALC.jcl,JCL,STEP15,TCATBALF,SHR,CBACT04C,,,,,No,VSAM KSDS
AWS.M2.CARDDEMO.TCATBALF.VSAM.KSDS,POSTTRAN.jcl,demo/jcl/POSTTRAN.jcl,JCL,STEP15,TCATBALF,SHR,CBTRN02C,,,,,No,VSAM KSDS
AWS.M2.CARDDEMO.TCATBALF.VSAM.KSDS,PRTCATBL.jcl,demo/jcl/PRTCATBL.jcl,JCL,STEP05R.PRC001,FILEIN,SHR,IDCAMS,,,,READ,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TCATBALF.VSAM.KSDS,TCATBALF.jcl,demo/jcl/TCATBALF.jcl,JCL,STEP05,,,IDCAMS,,,,DELETE,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TCATBALF.VSAM.KSDS,TCATBALF.jcl,demo/jcl/TCATBALF.jcl,JCL,STEP10,,,IDCAMS,,,,CREATE,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TCATBALF.VSAM.KSDS,TCATBALF.jcl,demo/jcl/TCATBALF.jcl,JCL,STEP15,TCATBALV,OLD,IDCAMS,,,,WRITE,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TCATBALF.VSAM.KSDS.DATA,TCATBALF.jcl,demo/jcl/TCATBALF.jcl,JCL,STEP10,,,IDCAMS,,,,CREATE,Yes,VSAM DATA
AWS.M2.CARDDEMO.TCATBALF.VSAM.KSDS.INDEX,TCATBALF.jcl,demo/jcl/TCATBALF.jcl,JCL,STEP10,,,IDCAMS,,,,CREATE,Yes,VSAM INDEX
AWS.M2.CARDDEMO.TRANCATG.PS,DEFGDGD.jcl,demo/jcl/DEFGDGD.jcl,JCL,STEP40,SYSUT1,SHR,IEBGENER,,,,READ,Yes,Non VSAM
AWS.M2.CARDDEMO.TRANCATG.PS,TRANCATG.jcl,demo/jcl/TRANCATG.jcl,JCL,STEP15,TRANCATG,SHR,IDCAMS,,,,READ,Yes,Non VSAM
AWS.M2.CARDDEMO.TRANCATG.PS,TRANEXTR.jcl,demo/app-transaction-type-db2/jcl/TRANEXTR.jcl,JCL,STEP20,SYSUT1,SHR,IEBGENER,,,,READ,Yes,Non VSAM
AWS.M2.CARDDEMO.TRANCATG.PS,TRANEXTR.jcl,demo/app-transaction-type-db2/jcl/TRANEXTR.jcl,JCL,STEP30,DD02,"MOD,DELETE,DELETE",IEFBR14,,,,DELETE,Yes,Non VSAM
AWS.M2.CARDDEMO.TRANCATG.PS,TRANEXTR.jcl,demo/app-transaction-type-db2/jcl/TRANEXTR.jcl,JCL,STEP50,SYSREC00,"NEW,CATLG,DELETE",IKJEFT01/DSNTIAUL,,,,WRITE,No,Non VSAM
AWS.M2.CARDDEMO.TRANCATG.PS.BKUP,DEFGDGD.jcl,demo/jcl/DEFGDGD.jcl,JCL,STEP30,,,IDCAMS,,,,CREATE,Yes,GDG BASE
AWS.M2.CARDDEMO.TRANCATG.PS.BKUP,DEFGDGD.jcl,demo/jcl/DEFGDGD.jcl,JCL,STEP40,SYSUT2,"NEW,CATLG",IEBGENER,,,,WRITE,Yes,GDG BASE
AWS.M2.CARDDEMO.TRANCATG.PS.BKUP,TRANEXTR.jcl,demo/app-transaction-type-db2/jcl/TRANEXTR.jcl,JCL,STEP20,SYSUT2,"NEW,CATLG",IEBGENER,,,,WRITE,Yes,GDG Base
AWS.M2.CARDDEMO.TRANCATG.VSAM.KSDS,CBTRN03C.cbl,demo/cbl/CBTRN03C.cbl,COBOL,,TRANCATG,,,TRANCATG-FILE,TRAN-CAT-RECORD,demo/cpy/CVTRA04Y.cpy,READ,,VSAM KSDS
AWS.M2.CARDDEMO.TRANCATG.VSAM.KSDS,TRANCATG.jcl,demo/jcl/TRANCATG.jcl,JCL,STEP05,,,IDCAMS,,,,DELETE,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRANCATG.VSAM.KSDS,TRANCATG.jcl,demo/jcl/TRANCATG.jcl,JCL,STEP10,,,IDCAMS,,,,CREATE,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRANCATG.VSAM.KSDS,TRANCATG.jcl,demo/jcl/TRANCATG.jcl,JCL,STEP15,TCATVSAM,OLD,IDCAMS,,,,WRITE,Yes,VSAM KSDS
AWS.M2.CARDDEMO.TRANCATG.VSAM.KSDS,TRANREPT.jcl,demo/jcl/TRANREPT.jcl,JCL,STEP10R,TRANCATG,SHR,CBTRN03C,,,,,No,VSAM KSDS
AWS.M2.CARDDEMO.TRANCATG.VSAM.KSDS.DATA,TRANCATG.jcl,demo/jcl/TRANCATG.jcl,JCL,STEP10,,,IDCAMS,,,,CREATE,Yes,VSAM DATA
AWS.M2.CARDDEMO.TRANCATG.VSAM.KSDS.INDEX,TRANCATG.jcl,demo/jcl/TRANCATG.jcl,JCL,STEP10,,,IDCAMS,,,,CREATE,Yes,VSAM INDEX
AWS.M2.CARDDEMO.TRANREPT,CBTRN03C.cbl,demo/cbl/CBTRN03C.cbl,COBOL,,TRANREPT,,,REPORT-FILE,REPORT-PAGE-TOTALS,demo/cpy/CVTRA07Y.cpy,WRITE,,GDG Base
AWS.M2.CARDDEMO.TRANREPT,CBTRN03C.cbl,demo/cbl/CBTRN03C.cbl,COBOL,,TRANREPT,,,REPORT-FILE,TRANSACTION-HEADER-2,demo/cpy/CVTRA07Y.cpy,WRITE,,GDG Base
AWS.M2.CARDDEMO.TRANREPT,CBTRN03C.cbl,demo/cbl/CBTRN03C.cbl,COBOL,,TRANREPT,,,REPORT-FILE,REPORT-ACCOUNT-TOTALS,demo/cpy/CVTRA07Y.cpy,WRITE,,GDG Base
AWS.M2.CARDDEMO.TRANREPT,CBTRN03C.cbl,demo/cbl/CBTRN03C.cbl,COBOL,,TRANREPT,,,REPORT-FILE,REPORT-GRAND-TOTALS,demo/cpy/CVTRA07Y.cpy,WRITE,,GDG Base
AWS.M2.CARDDEMO.TRANREPT,CBTRN03C.cbl,demo/cbl/CBTRN03C.cbl,COBOL,,TRANREPT,,,REPORT-FILE,REPORT-NAME-HEADER,demo/cpy/CVTRA07Y.cpy,WRITE,,GDG Base
AWS.M2.CARDDEMO.TRANREPT,CBTRN03C.cbl,demo/cbl/CBTRN03C.cbl,COBOL,,TRANREPT,,,REPORT-FILE,TRANSACTION-HEADER-1,demo/cpy/CVTRA07Y.cpy,WRITE,,GDG Base
AWS.M2.CARDDEMO.TRANREPT,CBTRN03C.cbl,demo/cbl/CBTRN03C.cbl,COBOL,,TRANREPT,,,REPORT-FILE,TRANSACTION-DETAIL-REPORT,demo/cpy/CVTRA07Y.cpy,WRITE,,GDG Base
